Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AMT,AMT,AMT,AMT,AMT,AMT
Date,,,,,,
2000-01-03 00:00:00+00:00,22.38191795349121,29.3125,30.625,29.0,30.5,433900
2000-01-04 00:00:00+00:00,22.143310546875,29.0,30.125,28.75,29.0,522300
2000-01-05 00:00:00+00:00,22.81142807006836,29.875,29.875,28.5625,29.0,674000
2000-01-06 00:00:00+00:00,22.572816848754883,29.5625,29.875,28.75,29.4375,911700
2000-01-07 00:00:00+00:00,23.81360626220703,31.1875,31.25,29.5,29.75,606000
2000-01-10 00:00:00+00:00,25.91339874267578,33.9375,34.125,32.0,32.0,1012300
2000-01-11 00:00:00+00:00,27.870037078857422,36.5,37.5625,33.8125,33.9375,2893100
2000-01-12 00:00:00+00:00,29.015371322631836,38.0,38.25,36.625,36.8125,1479400
2000-01-13 00:00:00+00:00,28.251806259155273,37.0,38.9375,37.0,38.25,1507000
2000-01-14 00:00:00+00:00,29.110822677612305,38.125,38.5,37.5,37.75,609200
2000-01-18 00:00:00+00:00,29.349428176879883,38.4375,40.0,38.125,39.5,2728900
2000-01-19 00:00:00+00:00,29.77894401550293,39.0,39.375,38.5,39.0,469400
2000-01-20 00:00:00+00:00,30.924283981323242,40.5,41.3125,39.5,39.5,1205200
2000-01-21 00:00:00+00:00,32.92862319946289,43.125,43.25,41.3125,41.4375,2353300
2000-01-24 00:00:00+00:00,32.069618225097656,42.0,44.625,41.8125,43.125,2161100
2000-01-25 00:00:00+00:00,31.544673919677734,41.3125,42.75,40.75,42.75,788000
2000-01-26 00:00:00+00:00,30.35160255432129,39.75,42.25,39.5,41.3125,578600
2000-01-27 00:00:00+00:00,29.301698684692383,38.375,40.4375,38.125,39.75,975700
2000-01-28 00:00:00+00:00,28.872201919555664,37.8125,39.375,37.25,38.75,601300
2000-01-31 00:00:00+00:00,27.392799377441406,35.875,37.8125,35.6875,37.75,617700
2000-02-01 00:00:00+00:00,29.588037490844727,38.75,38.875,34.3125,36.0,1191800
2000-02-02 00:00:00+00:00,29.969833374023438,39.25,39.75,38.4375,39.0,1714200
2000-02-03 00:00:00+00:00,30.542505264282227,40.0,40.375,38.5,39.5,433200
2000-02-04 00:00:00+00:00,30.876558303833008,40.4375,42.0,39.8125,40.25,754100
2000-02-07 00:00:00+00:00,29.492605209350586,38.625,39.3125,38.0,39.25,2011700
2000-02-08 00:00:00+00:00,32.069618225097656,42.0,42.125,38.75,38.75,2194900
2000-02-09 00:00:00+00:00,31.974166870117188,41.875,42.5,41.21875,42.5,1885100
2000-02-10 00:00:00+00:00,33.54902648925781,43.9375,44.75,41.75,41.875,2589300
2000-02-11 00:00:00+00:00,33.78763961791992,44.25,45.0,44.0625,44.5,1212700
2000-02-14 00:00:00+00:00,34.264854431152344,44.875,44.875,43.8125,44.4375,1778700
2000-02-15 00:00:00+00:00,34.83754348754883,45.625,47.25,45.0,45.0,1119500
2000-02-16 00:00:00+00:00,35.12385940551758,46.0,46.75,45.0,45.875,479400
2000-02-17 00:00:00+00:00,34.36030197143555,45.0,46.125,43.75,45.875,1402200
2000-02-18 00:00:00+00:00,32.64229202270508,42.75,44.75,42.375,44.25,749700
2000-02-22 00:00:00+00:00,31.306058883666992,41.0,43.3125,40.125,43.25,710700
2000-02-23 00:00:00+00:00,33.071781158447266,43.3125,43.625,41.5625,41.75,992100
2000-02-24 00:00:00+00:00,32.83317947387695,43.0,45.625,42.625,43.5625,764300
2000-02-25 00:00:00+00:00,32.45139694213867,42.5,43.5,41.875,43.0625,709800
2000-02-28 00:00:00+00:00,34.50346755981445,45.1875,45.75,41.0625,42.5,855700
2000-02-29 00:00:00+00:00,37.605438232421875,49.25,49.75,46.5,46.5,1093600
2000-03-01 00:00:00+00:00,37.3191032409668,48.875,50.5,47.5,49.25,1480500
2000-03-02 00:00:00+00:00,37.032772064208984,48.5,49.0625,47.0,49.0,1208600
2000-03-03 00:00:00+00:00,38.846248626708984,50.875,51.125,48.75,48.75,1843200
2000-03-06 00:00:00+00:00,38.941680908203125,51.0,51.0,49.4375,50.4375,1335100
2000-03-07 00:00:00+00:00,37.89178466796875,49.625,51.75,47.875,51.5,1100300
2000-03-08 00:00:00+00:00,41.18463897705078,53.9375,55.5,49.625,50.0,2308000
2000-03-09 00:00:00+00:00,40.9460334777832,53.625,53.625,50.5,52.0625,3095000
2000-03-10 00:00:00+00:00,41.85276794433594,54.8125,55.5,53.0,53.5,1502800
2000-03-13 00:00:00+00:00,41.041473388671875,53.75,54.375,52.0,53.5,466900
2000-03-14 00:00:00+00:00,37.79633712768555,49.5,54.3125,48.25,54.0625,1008300
2000-03-15 00:00:00+00:00,34.073974609375,44.625,49.3125,43.75,49.3125,1186700
2000-03-16 00:00:00+00:00,34.36030197143555,45.0,46.125,41.125,46.0,1505500
2000-03-17 00:00:00+00:00,38.75080108642578,50.75,51.875,45.5,45.5,1159800
2000-03-20 00:00:00+00:00,36.65098571777344,48.0,52.875,47.375,52.875,943700
2000-03-21 00:00:00+00:00,36.555545806884766,47.875,48.5,45.75,48.0625,889100
2000-03-22 00:00:00+00:00,40.468807220458984,53.0,53.0,48.125,48.125,1099900
2000-03-23 00:00:00+00:00,39.84841537475586,52.1875,53.75,50.5,53.125,440900
2000-03-24 00:00:00+00:00,39.705238342285156,52.0,54.25,50.75,53.5,1646100
2000-03-27 00:00:00+00:00,38.416725158691406,50.3125,52.0,49.5625,52.0,550500
2000-03-28 00:00:00+00:00,38.893959045410156,50.9375,51.5,49.5,50.5,643400
2000-03-29 00:00:00+00:00,38.082672119140625,49.875,51.9375,49.5,51.3125,487800
2000-03-30 00:00:00+00:00,38.17811965942383,50.0,50.0,48.25,49.75,673700
2000-03-31 00:00:00+00:00,37.70088195800781,49.375,51.4375,48.375,50.0,529400
2000-04-03 00:00:00+00:00,34.455753326416016,45.125,49.0,44.4375,49.0,1132800
2000-04-04 00:00:00+00:00,33.54902648925781,43.9375,46.625,40.375,46.0,1090900
2000-04-05 00:00:00+00:00,35.64881896972656,46.6875,47.0,42.5,44.0,519600
2000-04-06 00:00:00+00:00,38.17811965942383,50.0,50.1875,48.4375,48.75,1355700
2000-04-07 00:00:00+00:00,38.034950256347656,49.8125,50.4375,49.1875,50.0,339700
2000-04-10 00:00:00+00:00,35.69654083251953,46.75,49.0625,46.375,49.0,428200
2000-04-11 00:00:00+00:00,34.83754348754883,45.625,46.25,44.6875,46.125,448100
2000-04-12 00:00:00+00:00,33.02407455444336,43.25,45.5625,42.0,45.5,578800
2000-04-13 00:00:00+00:00,31.87871551513672,41.75,42.75,40.625,42.5,1471400
2000-04-14 00:00:00+00:00,30.68566131591797,40.1875,40.9375,39.5,40.5,630700
2000-04-17 00:00:00+00:00,31.687835693359375,41.5,41.75,38.25,40.4375,966300
2000-04-18 00:00:00+00:00,33.40585708618164,43.75,44.5,41.3125,41.75,1459800
2000-04-19 00:00:00+00:00,34.40803909301758,45.0625,45.6875,42.625,43.8125,704500
2000-04-20 00:00:00+00:00,34.55120086669922,45.25,45.625,44.0,45.1875,1051000
