Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BXP,BXP,BXP,BXP,BXP,BXP
Date,,,,,,
2000-01-03 00:00:00+00:00,9.8310546875,30.6875,31.125,30.5,31.125,59900
2000-01-04 00:00:00+00:00,9.67087459564209,30.1875,30.75,30.125,30.6875,95800
2000-01-05 00:00:00+00:00,9.750967025756836,30.4375,30.5625,30.125,30.1875,101000
2000-01-06 00:00:00+00:00,9.931169509887695,31.0,31.125,30.3125,30.5625,143100
2000-01-07 00:00:00+00:00,10.291572570800781,32.125,32.25,30.9375,30.9375,139000
2000-01-10 00:00:00+00:00,10.371667861938477,32.375,32.4375,31.9375,32.125,189100
2000-01-11 00:00:00+00:00,10.271553039550781,32.0625,32.4375,31.875,32.375,85300
2000-01-12 00:00:00+00:00,10.111371040344238,31.5625,32.1875,31.4375,32.1875,61100
2000-01-13 00:00:00+00:00,10.171431541442871,31.75,31.8125,31.5,31.5625,40800
2000-01-14 00:00:00+00:00,10.111371040344238,31.5625,31.875,31.25,31.625,64400
2000-01-18 00:00:00+00:00,10.011256217956543,31.25,31.625,31.125,31.625,73000
2000-01-19 00:00:00+00:00,10.011256217956543,31.25,31.375,31.0,31.125,100500
2000-01-20 00:00:00+00:00,9.891129493713379,30.875,31.3125,30.8125,31.0625,158700
2000-01-21 00:00:00+00:00,9.791008949279785,30.5625,31.0,30.25,30.875,272300
2000-01-24 00:00:00+00:00,9.750967025756836,30.4375,31.0,30.4375,30.75,117100
2000-01-25 00:00:00+00:00,9.791008949279785,30.5625,30.75,30.4375,30.6875,135300
2000-01-26 00:00:00+00:00,9.8310546875,30.6875,31.0,30.5,30.5,119700
2000-01-27 00:00:00+00:00,9.791008949279785,30.5625,30.6875,30.5,30.625,118600
2000-01-28 00:00:00+00:00,9.750967025756836,30.4375,30.6875,30.125,30.5625,228200
2000-01-31 00:00:00+00:00,9.610809326171875,30.0,30.5,30.0,30.5,127900
2000-02-01 00:00:00+00:00,9.550740242004395,29.8125,30.4375,29.0,30.125,2240200
2000-02-02 00:00:00+00:00,9.59078598022461,29.9375,30.125,29.75,30.125,428800
