Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ED,ED,ED,ED,ED,ED
Date,,,,,,
2000-01-03 00:00:00+00:00,10.825902938842773,33.75,34.4375,33.75,34.375,581900
2000-01-04 00:00:00+00:00,10.966235160827637,34.1875,34.3125,33.5625,33.5625,602400
2000-01-05 00:00:00+00:00,11.467436790466309,35.75,35.875,34.375,34.375,817800
2000-01-06 00:00:00+00:00,11.487483024597168,35.8125,35.875,35.0625,35.25,680900
2000-01-07 00:00:00+00:00,11.567679405212402,36.0625,36.1875,35.625,35.8125,391100
2000-01-10 00:00:00+00:00,11.266963958740234,35.125,36.125,35.0,36.125,481700
2000-01-11 00:00:00+00:00,11.046431541442871,34.4375,35.25,34.3125,35.125,544600
2000-01-12 00:00:00+00:00,11.086523056030273,34.5625,35.0,34.375,34.4375,749000
2000-01-13 00:00:00+00:00,10.986285209655762,34.25,34.875,34.0,34.875,452600
2000-01-14 00:00:00+00:00,10.805851936340332,33.6875,34.375,33.5625,34.125,646700
2000-01-18 00:00:00+00:00,10.465039253234863,32.625,33.4375,32.5,33.25,740500
2000-01-19 00:00:00+00:00,10.665520668029785,33.25,33.5,32.8125,32.875,453700
2000-01-20 00:00:00+00:00,10.545234680175781,32.875,33.375,32.8125,33.25,526300
2000-01-21 00:00:00+00:00,10.765762329101562,33.5625,34.25,33.0,33.125,695400
2000-01-24 00:00:00+00:00,10.906099319458008,34.0,34.5,34.0,34.375,643500
2000-01-25 00:00:00+00:00,10.585328102111816,33.0,34.25,32.875,34.125,492000
2000-01-26 00:00:00+00:00,10.906099319458008,34.0,34.0,33.0,33.25,341600
2000-01-27 00:00:00+00:00,10.685567855834961,33.3125,34.25,32.8125,34.0,469300
2000-01-28 00:00:00+00:00,10.444991111755371,32.5625,33.8125,32.5,33.3125,631600
2000-01-31 00:00:00+00:00,10.485089302062988,32.6875,32.875,32.3125,32.625,555800
2000-02-01 00:00:00+00:00,10.545234680175781,32.875,33.0625,32.5,32.75,626500
2000-02-02 00:00:00+00:00,10.424939155578613,32.5,33.0,32.3125,32.875,394000
2000-02-03 00:00:00+00:00,10.525179862976074,32.8125,33.125,32.5,32.5625,1015300
2000-02-04 00:00:00+00:00,10.344751358032227,32.25,32.875,31.625,32.8125,864300
