Price,Adj Close,Close,High,Low,Open,Volume
Ticker,EFX,EFX,EFX,EFX,EFX,EFX
Date,,,,,,
2000-01-03 00:00:00+00:00,10.573494911193848,22.375,23.25,21.0625,23.0625,440100
2000-01-04 00:00:00+00:00,10.219073295593262,21.625,22.25,21.5625,21.875,529100
2000-01-05 00:00:00+00:00,10.100933074951172,21.375,22.1875,21.3125,21.8125,362400
2000-01-06 00:00:00+00:00,9.982793807983398,21.125,21.625,20.8125,21.625,491100
2000-01-07 00:00:00+00:00,10.455354690551758,22.125,22.375,21.0625,21.4375,357000
2000-01-10 00:00:00+00:00,10.366745948791504,21.9375,22.1875,21.8125,21.875,270200
2000-01-11 00:00:00+00:00,10.662095069885254,22.5625,22.625,21.875,21.875,478700
2000-01-12 00:00:00+00:00,10.189537048339844,21.5625,22.5,21.0625,22.3125,333100
2000-01-13 00:00:00+00:00,9.598847389221191,20.3125,21.5625,20.0,21.5,822600
2000-01-14 00:00:00+00:00,10.04186725616455,21.25,21.25,20.1875,20.75,759200
2000-01-18 00:00:00+00:00,9.953258514404297,21.0625,21.5625,20.875,21.1875,433200
2000-01-19 00:00:00+00:00,10.012331008911133,21.1875,21.6875,20.9375,21.0,366200
2000-01-20 00:00:00+00:00,9.776054382324219,20.6875,21.5,20.625,21.3125,268600
2000-01-21 00:00:00+00:00,9.657913208007812,20.4375,21.125,20.25,21.0625,406600
2000-01-24 00:00:00+00:00,9.392098426818848,19.875,20.5,19.875,20.375,710800
2000-01-25 00:00:00+00:00,10.04186725616455,21.25,23.375,20.125,20.25,1474900
2000-01-26 00:00:00+00:00,10.04186725616455,21.25,21.375,20.1875,21.125,877900
2000-01-27 00:00:00+00:00,10.130473136901855,21.4375,22.375,21.0625,21.4375,1049800
2000-01-28 00:00:00+00:00,10.189537048339844,21.5625,21.75,21.25,21.5,762300
2000-01-31 00:00:00+00:00,10.160003662109375,21.5,21.625,20.875,21.5625,358900
2000-02-01 00:00:00+00:00,9.923725128173828,21.0,21.3125,20.625,21.3125,788700
2000-02-02 00:00:00+00:00,10.160003662109375,21.5,21.625,20.75,20.75,595900
2000-02-03 00:00:00+00:00,10.27814769744873,21.75,22.25,21.25,22.25,530600
2000-02-04 00:00:00+00:00,10.219073295593262,21.625,22.0,21.3125,21.9375,445700
2000-02-07 00:00:00+00:00,10.071401596069336,21.3125,21.4375,21.0625,21.375,211900
2000-02-08 00:00:00+00:00,10.425817489624023,22.0625,22.0625,21.3125,21.5,349700
2000-02-09 00:00:00+00:00,10.160003662109375,21.5,21.6875,21.125,21.625,494500
2000-02-10 00:00:00+00:00,10.366745948791504,21.9375,22.1875,21.4375,21.625,581700
