Price,Adj Close,Close,High,Low,Open,Volume
Ticker,HSY,HSY,HSY,HSY,HSY,HSY
Date,,,,,,
2000-01-03 00:00:00+00:00,13.221473693847656,23.1875,23.75,23.03125,23.5,906400
2000-01-04 00:00:00+00:00,12.722549438476562,22.3125,23.0,22.21875,22.875,1060000
2000-01-05 00:00:00+00:00,12.776007652282715,22.40625,23.25,22.1875,22.375,1087400
2000-01-06 00:00:00+00:00,13.114563941955566,23.0,23.65625,22.4375,22.53125,1002400
2000-01-07 00:00:00+00:00,13.150203704833984,23.0625,23.46875,22.625,23.03125,805800
2000-01-10 00:00:00+00:00,13.18584156036377,23.125,23.40625,22.84375,23.0,659200
2000-01-11 00:00:00+00:00,12.91855239868164,22.65625,23.25,22.375,23.125,813200
2000-01-12 00:00:00+00:00,12.829461097717285,22.5,23.28125,22.34375,22.78125,684000
2000-01-13 00:00:00+00:00,12.740374565124512,22.34375,22.71875,22.28125,22.5,500600
2000-01-14 00:00:00+00:00,12.134536743164062,21.28125,22.4375,20.0,22.4375,9517000
2000-01-18 00:00:00+00:00,12.259267807006836,21.5,21.5,20.8125,21.28125,1003400
2000-01-19 00:00:00+00:00,12.294906616210938,21.5625,21.6875,21.0625,21.25,1031400
2000-01-20 00:00:00+00:00,12.027628898620605,21.09375,21.5625,21.0,21.53125,1087400
2000-01-21 00:00:00+00:00,11.76034164428711,20.625,21.21875,20.375,21.09375,960200
2000-01-24 00:00:00+00:00,11.439610481262207,20.0625,20.8125,20.0625,20.8125,665800
2000-01-25 00:00:00+00:00,11.35051441192627,19.90625,20.59375,19.65625,20.1875,641600
2000-01-26 00:00:00+00:00,11.457425117492676,20.09375,20.21875,19.625,20.0,998200
2000-01-27 00:00:00+00:00,11.243599891662598,19.71875,20.0625,19.5,20.0625,623600
2000-01-28 00:00:00+00:00,10.762495994567871,18.875,19.625,18.875,19.625,1407600
2000-01-31 00:00:00+00:00,12.11671257019043,21.25,21.40625,19.21875,19.25,1982400
2000-02-01 00:00:00+00:00,11.564336776733398,20.28125,21.25,20.125,21.125,1198400
2000-02-02 00:00:00+00:00,11.599971771240234,20.34375,20.75,20.1875,20.25,1300000
2000-02-03 00:00:00+00:00,11.795979499816895,20.6875,20.90625,20.46875,20.46875,975200
2000-02-04 00:00:00+00:00,11.831615447998047,20.75,20.9375,20.5,20.8125,786800
2000-02-07 00:00:00+00:00,11.689068794250488,20.5,20.75,20.4375,20.5625,627800
2000-02-08 00:00:00+00:00,12.027628898620605,21.09375,21.09375,20.5,20.5,887600
2000-02-09 00:00:00+00:00,11.902894020080566,20.875,21.15625,20.78125,20.9375,911200
2000-02-10 00:00:00+00:00,11.974169731140137,21.0,21.0625,20.59375,20.75,1077600
2000-02-11 00:00:00+00:00,12.187987327575684,21.375,22.71875,20.9375,21.0,2209200
2000-02-14 00:00:00+00:00,12.09890365600586,21.21875,21.5,20.78125,21.375,885200
2000-02-15 00:00:00+00:00,12.490907669067383,21.90625,22.0625,21.125,21.125,1211400
2000-02-16 00:00:00+00:00,12.597820281982422,22.09375,22.59375,21.625,22.125,1650000
2000-02-17 00:00:00+00:00,12.704731941223145,22.28125,22.53125,22.0,22.03125,838400
2000-02-18 00:00:00+00:00,12.865105628967285,22.5625,22.6875,22.25,22.25,1215400
2000-02-22 00:00:00+00:00,13.310569763183594,23.34375,23.625,22.1875,22.46875,1636000
2000-02-23 00:00:00+00:00,13.223843574523926,23.0625,23.6875,22.75,23.0625,1850200
2000-02-24 00:00:00+00:00,12.82964038848877,22.375,22.65625,21.84375,22.65625,2772800
2000-02-25 00:00:00+00:00,12.93714427947998,22.5625,22.65625,22.09375,22.40625,1627400
2000-02-28 00:00:00+00:00,12.650450706481934,22.0625,22.53125,21.96875,22.5,1047200
2000-02-29 00:00:00+00:00,12.596695899963379,21.96875,21.96875,20.9375,21.5,2147800
2000-03-01 00:00:00+00:00,12.847557067871094,22.40625,22.5,21.5,21.96875,1485800
2000-03-02 00:00:00+00:00,12.525020599365234,21.84375,22.3125,21.46875,22.28125,850200
2000-03-03 00:00:00+00:00,12.363754272460938,21.5625,21.71875,21.4375,21.71875,828000
2000-03-06 00:00:00+00:00,12.094986915588379,21.09375,21.375,20.78125,21.25,889200
2000-03-07 00:00:00+00:00,11.467829704284668,20.0,20.625,19.8125,20.59375,1308200
2000-03-08 00:00:00+00:00,11.987464904785156,20.90625,21.5625,19.875,20.0,1841600
2000-03-09 00:00:00+00:00,11.790362358093262,20.5625,20.8125,20.15625,20.21875,1652600
2000-03-10 00:00:00+00:00,11.467829704284668,20.0,20.5,19.875,20.34375,1022000
2000-03-13 00:00:00+00:00,11.467829704284668,20.0,20.0,19.59375,19.6875,825800
2000-03-14 00:00:00+00:00,11.736613273620605,20.46875,20.5625,20.0,20.0,1069800
2000-03-15 00:00:00+00:00,12.542943000793457,21.875,21.9375,20.3125,20.5,1606600
2000-03-16 00:00:00+00:00,13.67180347442627,23.84375,24.15625,22.0,22.0,1892200
