Price,Adj Close,Close,High,Low,Open,Volume
Ticker,HUM,HUM,HUM,HUM,HUM,HUM
Date,,,,,,
2000-01-03 00:00:00+00:00,6.752523899078369,7.5625,8.375,7.375,8.3125,1287300
2000-01-04 00:00:00+00:00,6.808328151702881,7.625,7.875,7.375,7.375,1238300
2000-01-05 00:00:00+00:00,6.975746154785156,7.8125,7.875,7.5,7.5,1096300
2000-01-06 00:00:00+00:00,7.254776477813721,8.125,8.25,7.5,7.75,1026700
2000-01-07 00:00:00+00:00,7.8128342628479,8.75,9.125,8.0625,8.1875,2419300
2000-01-10 00:00:00+00:00,7.478000164031982,8.375,8.9375,8.375,8.875,1276200
2000-01-11 00:00:00+00:00,7.36638879776001,8.25,8.75,8.25,8.375,693700
2000-01-12 00:00:00+00:00,7.533806800842285,8.4375,8.6875,8.25,8.375,764000
2000-01-13 00:00:00+00:00,8.259282112121582,9.25,9.5,8.5625,8.5625,1760600
2000-01-14 00:00:00+00:00,7.36638879776001,8.25,9.625,8.25,9.375,1429000
2000-01-18 00:00:00+00:00,7.701221466064453,8.625,9.0,8.375,9.0,776600
2000-01-19 00:00:00+00:00,7.143165111541748,8.0,8.6875,8.0,8.6875,1220100
2000-01-20 00:00:00+00:00,6.91994047164917,7.75,8.0625,7.6875,8.0,1744500
2000-01-21 00:00:00+00:00,6.975746154785156,7.8125,8.0625,7.6875,7.75,1670100
2000-01-24 00:00:00+00:00,7.0873589515686035,7.9375,8.125,7.625,7.9375,1001400
2000-01-25 00:00:00+00:00,6.91994047164917,7.75,7.8125,7.5,7.5,994500
2000-01-26 00:00:00+00:00,7.031552791595459,7.875,8.0625,7.75,7.75,821500
2000-01-27 00:00:00+00:00,6.808328151702881,7.625,8.0625,7.625,8.0,421200
2000-01-28 00:00:00+00:00,6.808328151702881,7.625,8.0625,7.125,7.375,1775700
2000-01-31 00:00:00+00:00,7.143165111541748,8.0,8.1875,7.625,7.625,858700
2000-02-01 00:00:00+00:00,7.36638879776001,8.25,8.375,8.0,8.0,783600
2000-02-02 00:00:00+00:00,7.422191619873047,8.3125,8.625,8.25,8.3125,597300
2000-02-03 00:00:00+00:00,7.533806800842285,8.4375,8.625,8.3125,8.3125,773500
2000-02-04 00:00:00+00:00,7.478000164031982,8.375,8.75,8.375,8.5625,481200
2000-02-07 00:00:00+00:00,7.533806800842285,8.4375,8.625,8.3125,8.5,574300
2000-02-08 00:00:00+00:00,7.310582160949707,8.1875,8.5625,8.0625,8.4375,713800
2000-02-09 00:00:00+00:00,6.752523899078369,7.5625,8.125,7.4375,7.8125,1495000
2000-02-10 00:00:00+00:00,6.417686939239502,7.1875,7.5,7.0,7.4375,1307800
2000-02-11 00:00:00+00:00,6.1386590003967285,6.875,7.125,6.6875,7.125,983900
2000-02-14 00:00:00+00:00,6.640912055969238,7.4375,7.5,6.8125,6.9375,902200
2000-02-15 00:00:00+00:00,6.752523899078369,7.5625,7.6875,7.375,7.5625,753600
2000-02-16 00:00:00+00:00,6.585102558135986,7.375,7.6875,7.1875,7.5625,535300
2000-02-17 00:00:00+00:00,6.361881256103516,7.125,7.4375,7.0625,7.4375,417200
2000-02-18 00:00:00+00:00,6.306074142456055,7.0625,7.25,7.0,7.125,357400
2000-02-22 00:00:00+00:00,6.306074142456055,7.0625,7.0625,6.875,7.0,517200
2000-02-23 00:00:00+00:00,6.361881256103516,7.125,7.25,6.8125,7.0,628800
2000-02-24 00:00:00+00:00,6.1386590003967285,6.875,7.25,6.875,7.25,467600
2000-02-25 00:00:00+00:00,5.915432453155518,6.625,7.0625,6.625,6.875,457300
2000-02-28 00:00:00+00:00,5.915432453155518,6.625,6.875,6.5,6.8125,496300
2000-02-29 00:00:00+00:00,6.082850933074951,6.8125,6.9375,6.5625,6.625,528900
2000-03-01 00:00:00+00:00,6.91994047164917,7.75,7.75,6.75,7.375,1445100
2000-03-02 00:00:00+00:00,6.194462776184082,6.9375,7.875,6.875,7.75,1200200
2000-03-03 00:00:00+00:00,6.529298305511475,7.3125,7.375,7.0625,7.1875,904700
2000-03-06 00:00:00+00:00,6.250269412994385,7.0,7.125,6.875,7.0625,479500
2000-03-07 00:00:00+00:00,5.468985557556152,6.125,7.0,6.125,7.0,759200
2000-03-08 00:00:00+00:00,5.803822040557861,6.5,6.75,6.25,6.5625,1122700
2000-03-09 00:00:00+00:00,5.859627723693848,6.5625,6.6875,6.3125,6.4375,523300
2000-03-10 00:00:00+00:00,5.748015880584717,6.4375,6.5625,6.3125,6.5,487000
2000-03-13 00:00:00+00:00,5.97123908996582,6.6875,6.75,6.4375,6.4375,448100
2000-03-14 00:00:00+00:00,5.915432453155518,6.625,6.8125,6.5,6.6875,464800
2000-03-15 00:00:00+00:00,6.417686939239502,7.1875,7.1875,6.5625,6.75,718100
2000-03-16 00:00:00+00:00,6.4734930992126465,7.25,7.3125,6.875,7.0625,513900
2000-03-17 00:00:00+00:00,6.250269412994385,7.0,7.3125,6.875,7.25,527100
2000-03-20 00:00:00+00:00,6.361881256103516,7.125,7.1875,7.0,7.1875,303000
2000-03-21 00:00:00+00:00,6.417686939239502,7.1875,7.3125,7.0625,7.25,417300
2000-03-22 00:00:00+00:00,6.417686939239502,7.1875,7.375,7.0625,7.0625,316200
2000-03-23 00:00:00+00:00,6.69671630859375,7.5,7.5,7.0625,7.125,504200
2000-03-24 00:00:00+00:00,6.529298305511475,7.3125,7.5,7.25,7.3125,274300
2000-03-27 00:00:00+00:00,6.417686939239502,7.1875,7.375,7.125,7.375,303100
2000-03-28 00:00:00+00:00,6.529298305511475,7.3125,7.375,7.0625,7.0625,287000
2000-03-29 00:00:00+00:00,6.69671630859375,7.5,7.75,7.25,7.25,566200
2000-03-30 00:00:00+00:00,6.752523899078369,7.5625,8.0,7.5625,7.625,768900
2000-03-31 00:00:00+00:00,6.529298305511475,7.3125,7.5625,7.25,7.4375,370500
2000-04-03 00:00:00+00:00,6.864133834838867,7.6875,7.875,7.375,7.4375,392300
2000-04-04 00:00:00+00:00,6.808328151702881,7.625,7.75,7.1875,7.5,437700
2000-04-05 00:00:00+00:00,6.69671630859375,7.5,7.625,7.1875,7.625,317200
2000-04-06 00:00:00+00:00,7.0873589515686035,7.9375,8.0625,7.5,7.5,734700
2000-04-07 00:00:00+00:00,7.310582160949707,8.1875,8.25,7.9375,7.9375,709200
2000-04-10 00:00:00+00:00,7.422191619873047,8.3125,8.4375,8.0625,8.0625,716600
2000-04-11 00:00:00+00:00,7.254776477813721,8.125,8.25,8.0,8.1875,638000
2000-04-12 00:00:00+00:00,7.198972225189209,8.0625,8.1875,8.0,8.125,673600
2000-04-13 00:00:00+00:00,6.975746154785156,7.8125,7.875,7.5625,7.5625,720100
2000-04-14 00:00:00+00:00,6.361881256103516,7.125,7.75,7.125,7.75,636500
2000-04-17 00:00:00+00:00,6.417686939239502,7.1875,7.375,7.0,7.125,580500
2000-04-18 00:00:00+00:00,6.529298305511475,7.3125,7.5,7.0625,7.1875,417300
2000-04-19 00:00:00+00:00,7.031552791595459,7.875,8.0,7.5,7.5,494700
2000-04-20 00:00:00+00:00,7.031552791595459,7.875,8.0,7.6875,7.875,280600
2000-04-24 00:00:00+00:00,7.757030010223389,8.6875,8.8125,7.8125,7.8125,1399200
2000-04-25 00:00:00+00:00,7.533806800842285,8.4375,8.625,8.3125,8.375,516600
2000-04-26 00:00:00+00:00,7.310582160949707,8.1875,8.75,8.125,8.6875,319100
2000-04-27 00:00:00+00:00,7.478000164031982,8.375,8.4375,8.0625,8.125,1046400
2000-04-28 00:00:00+00:00,6.864133834838867,7.6875,8.4375,7.6875,8.375,729200
2000-05-01 00:00:00+00:00,6.91994047164917,7.75,7.9375,7.625,7.6875,678300
2000-05-02 00:00:00+00:00,7.143165111541748,8.0,8.0,7.4375,7.4375,530000
2000-05-03 00:00:00+00:00,5.97123908996582,6.6875,7.6875,6.5625,7.625,1594200
2000-05-04 00:00:00+00:00,5.915432453155518,6.625,6.9375,6.4375,6.9375,1084600
2000-05-05 00:00:00+00:00,6.250269412994385,7.0,7.0,6.4375,6.625,459700
2000-05-08 00:00:00+00:00,5.803822040557861,6.5,6.75,6.375,6.6875,682100
2000-05-09 00:00:00+00:00,5.6364030838012695,6.3125,6.5625,6.25,6.5,527200
