Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PKG,PKG,PKG,PKG,PKG,PKG
Date,,,,,,
2000-01-28 00:00:00+00:00,5.9706711769104,12.0,12.1875,12.0,12.0,11192000
2000-01-31 00:00:00+00:00,6.001763343811035,12.0625,12.0625,12.0,12.0,1880900
2000-02-01 00:00:00+00:00,5.9706711769104,12.0,12.0625,12.0,12.0,367100
2000-02-02 00:00:00+00:00,6.001763343811035,12.0625,12.0625,12.0,12.0,697400
2000-02-03 00:00:00+00:00,5.9706711769104,12.0,12.0625,12.0,12.0,579800
2000-02-04 00:00:00+00:00,5.65969705581665,11.375,12.0625,11.25,12.0,1681900
2000-02-07 00:00:00+00:00,5.379822731018066,10.8125,11.125,10.5,11.125,927200
2000-02-08 00:00:00+00:00,4.913363456726074,9.875,10.875,9.75,10.75,795400
2000-02-09 00:00:00+00:00,5.037753582000732,10.125,10.25,9.75,9.875,1710100
2000-02-10 00:00:00+00:00,5.286530017852783,10.625,11.25,10.4375,10.5,571500
2000-02-11 00:00:00+00:00,5.006655693054199,10.0625,10.9375,10.0,10.75,1062000
2000-02-14 00:00:00+00:00,4.882266044616699,9.8125,10.3125,9.75,10.1875,289000
2000-02-15 00:00:00+00:00,5.193240642547607,10.4375,10.625,9.9375,10.0,541400
2000-02-16 00:00:00+00:00,5.255434513092041,10.5625,10.625,10.25,10.5625,360700
2000-02-17 00:00:00+00:00,5.162142276763916,10.375,10.875,10.25,10.875,291600
2000-02-18 00:00:00+00:00,5.22433614730835,10.5,10.75,10.3125,10.5,330700
2000-02-22 00:00:00+00:00,5.131045341491699,10.3125,10.625,9.875,10.25,314500
2000-02-23 00:00:00+00:00,5.037753582000732,10.125,10.3125,9.8125,9.9375,494300
2000-02-24 00:00:00+00:00,4.944460868835449,9.9375,10.3125,9.875,10.125,919900
2000-02-25 00:00:00+00:00,5.193240642547607,10.4375,10.625,10.0,10.3125,1095500
2000-02-28 00:00:00+00:00,5.037753582000732,10.125,10.3125,10.0,10.25,366800
2000-02-29 00:00:00+00:00,5.410918235778809,10.875,11.25,10.0,10.125,1652500
2000-03-01 00:00:00+00:00,5.473114490509033,11.0,11.25,10.875,10.875,266700
2000-03-02 00:00:00+00:00,5.72189474105835,11.5,11.9375,10.8125,10.875,890300
