Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PNC,PNC,PNC,PNC,PNC,PNC
Date,,,,,,
2000-01-03 00:00:00+00:00,19.73950958251953,42.1875,44.0,41.6875,44.0,703500
2000-01-04 00:00:00+00:00,19.125383377075195,40.875,42.125,40.0,42.125,1318500
2000-01-05 00:00:00+00:00,19.213111877441406,41.0625,41.5625,40.8125,40.8125,1078900
2000-01-06 00:00:00+00:00,20.119674682617188,43.0,43.5,40.875,40.875,1490700
2000-01-07 00:00:00+00:00,20.148908615112305,43.0625,43.5,42.5625,43.0,1128000
2000-01-10 00:00:00+00:00,19.447059631347656,41.5625,44.0,41.5,44.0,945800
2000-01-11 00:00:00+00:00,19.24236488342285,41.125,41.625,40.875,41.5,548000
2000-01-12 00:00:00+00:00,19.86918830871582,42.0,42.25,41.125,41.25,831400
2000-01-13 00:00:00+00:00,21.67278480529785,45.8125,46.0,42.9375,43.5,1703500
2000-01-14 00:00:00+00:00,22.116294860839844,46.75,47.375,45.75,47.25,1377200
2000-01-18 00:00:00+00:00,21.73192596435547,45.9375,46.75,45.8125,46.75,1056000
2000-01-19 00:00:00+00:00,21.436246871948242,45.3125,46.5625,45.3125,45.9375,845200
2000-01-20 00:00:00+00:00,20.815338134765625,44.0,45.5,43.625,45.5,998900
2000-01-21 00:00:00+00:00,20.756206512451172,43.875,44.125,42.9375,44.0625,1203300
2000-01-24 00:00:00+00:00,20.549238204956055,43.4375,44.125,43.25,44.0,1352700
2000-01-25 00:00:00+00:00,20.84490203857422,44.0625,44.25,43.625,43.6875,1014300
2000-01-26 00:00:00+00:00,21.377117156982422,45.1875,45.1875,43.75,43.875,989300
2000-01-27 00:00:00+00:00,22.086729049682617,46.6875,46.9375,45.0625,45.5,1424300
2000-01-28 00:00:00+00:00,21.70235824584961,45.875,46.5,45.5625,46.25,1545700
2000-01-31 00:00:00+00:00,22.707639694213867,48.0,48.0,45.75,45.875,1292500
2000-02-01 00:00:00+00:00,22.825899124145508,48.25,48.5,47.5,48.0,802400
2000-02-02 00:00:00+00:00,22.086729049682617,46.6875,48.1875,46.5,48.0,1043000
2000-02-03 00:00:00+00:00,21.524953842163086,45.5,46.8125,45.25,46.5,1148700
2000-02-04 00:00:00+00:00,21.08144187927246,44.5625,45.9375,44.4375,45.625,757400
2000-02-07 00:00:00+00:00,20.87448501586914,44.125,44.5625,43.0625,44.5625,611800
2000-02-08 00:00:00+00:00,21.317981719970703,45.0625,45.9375,44.375,44.375,786200
2000-02-09 00:00:00+00:00,20.84490203857422,44.0625,45.1875,44.0625,44.875,682700
2000-02-10 00:00:00+00:00,20.19442367553711,42.6875,44.5,42.25,44.25,733400
2000-02-11 00:00:00+00:00,19.928325653076172,42.125,43.5,41.8125,42.6875,554600
2000-02-14 00:00:00+00:00,19.691791534423828,41.625,42.3125,41.375,42.125,464800
2000-02-15 00:00:00+00:00,20.40139389038086,43.125,43.25,41.5,41.5625,570800
2000-02-16 00:00:00+00:00,19.86918830871582,42.0,43.125,41.9375,43.0625,559400
2000-02-17 00:00:00+00:00,19.75091552734375,41.75,43.125,41.375,43.125,635000
2000-02-18 00:00:00+00:00,18.92303466796875,40.0,41.1875,39.0,41.0,1069600
2000-02-22 00:00:00+00:00,18.686492919921875,39.5,40.0,38.8125,39.625,854600
2000-02-23 00:00:00+00:00,18.50910186767578,39.125,39.625,38.375,39.5625,671000
2000-02-24 00:00:00+00:00,17.976877212524414,38.0,39.125,38.0,39.0625,755000
2000-02-25 00:00:00+00:00,17.799474716186523,37.625,39.25,37.625,38.25,847900
2000-02-28 00:00:00+00:00,18.479515075683594,39.0625,39.6875,38.0625,38.125,922400
2000-02-29 00:00:00+00:00,18.30211639404297,38.6875,39.25,38.625,39.25,955200
2000-03-01 00:00:00+00:00,18.33168601989746,38.75,39.0,37.875,38.625,755900
2000-03-02 00:00:00+00:00,18.390827178955078,38.875,39.0,38.0,38.6875,703100
2000-03-03 00:00:00+00:00,18.420394897460938,38.9375,39.5,38.375,39.5,565800
2000-03-06 00:00:00+00:00,18.036022186279297,38.125,39.25,38.125,39.0,442600
2000-03-07 00:00:00+00:00,17.3559627532959,36.6875,38.125,36.5,38.125,698800
2000-03-08 00:00:00+00:00,17.326396942138672,36.625,37.25,36.0,36.9375,862400
2000-03-09 00:00:00+00:00,17.503801345825195,37.0,37.375,36.6875,36.8125,1005300
2000-03-10 00:00:00+00:00,17.71077537536621,37.4375,37.625,37.0,37.25,1005700
2000-03-13 00:00:00+00:00,17.562944412231445,37.125,37.9375,36.8125,36.875,618400
