Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PNW,PNW,PNW,PNW,PNW,PNW
Date,,,,,,
2000-01-03 00:00:00+00:00,9.898905754089355,29.75,30.3125,29.375,30.3125,246300
2000-01-04 00:00:00+00:00,10.023682594299316,30.125,30.125,29.5625,29.5625,347800
2000-01-05 00:00:00+00:00,10.294028282165527,30.9375,31.25,29.875,29.875,453000
2000-01-06 00:00:00+00:00,10.356420516967773,31.125,31.1875,30.8125,30.8125,139300
2000-01-07 00:00:00+00:00,10.647568702697754,32.0,32.0625,30.875,31.125,303300
2000-01-10 00:00:00+00:00,10.501998901367188,31.5625,31.875,31.375,31.75,178800
2000-01-11 00:00:00+00:00,10.398009300231934,31.25,31.6875,30.875,31.5625,150800
2000-01-12 00:00:00+00:00,10.564377784729004,31.75,32.0,31.0625,31.125,143500
2000-01-13 00:00:00+00:00,10.33562183380127,31.0625,31.75,30.8125,31.75,1107400
2000-01-14 00:00:00+00:00,10.273235321044922,30.875,31.0,30.625,31.0,204300
2000-01-18 00:00:00+00:00,10.023682594299316,30.125,31.0,30.0,30.875,348600
2000-01-19 00:00:00+00:00,10.33562183380127,31.0625,31.0625,29.6875,29.6875,208500
2000-01-20 00:00:00+00:00,10.1068696975708,30.375,31.5,30.3125,31.1875,326300
2000-01-21 00:00:00+00:00,10.273235321044922,30.875,31.125,30.5,30.9375,233400
2000-01-24 00:00:00+00:00,10.543582916259766,31.6875,32.0625,30.6875,30.875,520000
2000-01-25 00:00:00+00:00,10.08607292175293,30.3125,32.3125,30.0625,31.9375,519900
2000-01-26 00:00:00+00:00,10.273235321044922,30.875,31.25,30.25,30.5,308700
2000-01-27 00:00:00+00:00,10.522790908813477,31.625,31.875,31.0,31.125,841900
2000-01-28 00:00:00+00:00,10.072769165039062,29.9375,30.9375,29.8125,30.875,1628400
2000-01-31 00:00:00+00:00,10.388203620910645,30.875,30.875,29.75,30.3125,585300
2000-02-01 00:00:00+00:00,10.430265426635742,31.0,31.0,30.5625,30.75,170600
2000-02-02 00:00:00+00:00,10.430265426635742,31.0,31.3125,30.875,30.9375,169100
2000-02-03 00:00:00+00:00,10.661579132080078,31.6875,31.9375,31.125,31.125,460800
2000-02-04 00:00:00+00:00,10.36717700958252,30.8125,31.6875,30.625,31.6875,202500
2000-02-07 00:00:00+00:00,10.304088592529297,30.625,30.875,30.5625,30.8125,94800
2000-02-08 00:00:00+00:00,10.409229278564453,30.9375,31.0,30.625,30.625,228700
2000-02-09 00:00:00+00:00,10.36717700958252,30.8125,31.625,30.125,30.8125,382300
2000-02-10 00:00:00+00:00,10.240999221801758,30.4375,31.1875,30.0,30.9375,802100
2000-02-11 00:00:00+00:00,10.240999221801758,30.4375,30.5625,30.0625,30.4375,160800
2000-02-14 00:00:00+00:00,10.219974517822266,30.375,30.5,30.3125,30.5,342600
2000-02-15 00:00:00+00:00,10.198946952819824,30.3125,30.5,30.0,30.375,104900
2000-02-16 00:00:00+00:00,10.09379768371582,30.0,30.25,29.4375,30.1875,251100
2000-02-17 00:00:00+00:00,9.967632293701172,29.625,30.0625,29.375,30.0,236700
2000-02-18 00:00:00+00:00,9.715285301208496,28.875,29.5625,28.25,29.5,284400
2000-02-22 00:00:00+00:00,9.736316680908203,28.9375,29.375,28.8125,29.125,262700
2000-02-23 00:00:00+00:00,9.504997253417969,28.25,28.8125,27.875,28.8125,185800
2000-02-24 00:00:00+00:00,9.21059513092041,27.375,28.25,26.8125,28.25,135700
2000-02-25 00:00:00+00:00,8.83207893371582,26.25,27.0625,26.25,27.0,252100
2000-02-28 00:00:00+00:00,9.315732955932617,27.6875,27.875,26.375,26.5,243900
2000-02-29 00:00:00+00:00,9.252653121948242,27.5,27.875,27.3125,27.5,224500
2000-03-01 00:00:00+00:00,9.21059513092041,27.375,27.9375,27.25,27.625,679300
2000-03-02 00:00:00+00:00,9.231622695922852,27.4375,27.625,27.375,27.5,317200
2000-03-03 00:00:00+00:00,9.21059513092041,27.375,27.75,27.25,27.4375,356400
2000-03-06 00:00:00+00:00,8.790016174316406,26.125,27.25,25.875,27.25,303400
2000-03-07 00:00:00+00:00,8.895163536071777,26.4375,26.75,26.0,26.0625,339900
2000-03-08 00:00:00+00:00,8.916192054748535,26.5,27.1875,26.375,26.5625,328000
2000-03-09 00:00:00+00:00,9.06339168548584,26.9375,27.0,26.25,26.5,176000
2000-03-10 00:00:00+00:00,8.811052322387695,26.1875,27.1875,26.0,27.1875,936500
2000-03-13 00:00:00+00:00,8.726934432983398,25.9375,26.25,25.6875,26.0625,136700
2000-03-14 00:00:00+00:00,8.768989562988281,26.0625,26.375,25.6875,25.9375,187600
2000-03-15 00:00:00+00:00,9.610142707824707,28.5625,28.6875,26.0,26.0,696500
2000-03-16 00:00:00+00:00,9.967632293701172,29.625,29.9375,28.1875,28.4375,583700
2000-03-17 00:00:00+00:00,9.673223495483398,28.75,29.625,28.625,29.625,258600
2000-03-20 00:00:00+00:00,9.5470552444458,28.375,28.875,28.1875,28.875,536000
2000-03-21 00:00:00+00:00,9.357792854309082,27.8125,28.5,27.6875,28.25,375900
2000-03-22 00:00:00+00:00,8.979275703430176,26.6875,27.75,26.5625,27.75,481700
2000-03-23 00:00:00+00:00,9.105452537536621,27.0625,28.0,26.5,26.5,1041700
