Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PVH,PVH,PVH,PVH,PVH,PVH
Date,,,,,,
2000-01-03 00:00:00+00:00,7.019343376159668,7.8125,8.1875,7.75,8.1875,30100
2000-01-04 00:00:00+00:00,6.738572120666504,7.5,7.875,7.4375,7.75,17500
2000-01-05 00:00:00+00:00,6.6262617111206055,7.375,7.5625,7.375,7.5,26800
2000-01-06 00:00:00+00:00,6.794723987579346,7.5625,7.6875,7.25,7.375,48400
2000-01-07 00:00:00+00:00,6.6262617111206055,7.375,7.875,7.375,7.5625,20900
2000-01-10 00:00:00+00:00,6.345485687255859,7.0625,7.5,7.0,7.5,84300
2000-01-11 00:00:00+00:00,6.177022933959961,6.875,7.25,6.8125,7.1875,31500
2000-01-12 00:00:00+00:00,6.4016432762146,7.125,7.125,6.8125,7.0,28200
2000-01-13 00:00:00+00:00,6.4016432762146,7.125,7.25,7.125,7.25,17900
2000-01-14 00:00:00+00:00,6.23317813873291,6.9375,7.1875,6.9375,7.1875,29100
2000-01-18 00:00:00+00:00,6.513951778411865,7.25,7.25,7.0625,7.0625,50100
2000-01-19 00:00:00+00:00,6.6262617111206055,7.375,7.375,7.25,7.25,12800
2000-01-20 00:00:00+00:00,6.850882530212402,7.625,7.625,7.3125,7.3125,27200
2000-01-21 00:00:00+00:00,6.963189601898193,7.75,7.75,7.4375,7.5,43000
2000-01-24 00:00:00+00:00,6.682415008544922,7.4375,7.875,7.4375,7.8125,88400
2000-01-25 00:00:00+00:00,6.457798957824707,7.1875,7.375,7.0,7.375,969200
2000-01-26 00:00:00+00:00,6.4016432762146,7.125,7.25,7.125,7.25,9200
2000-01-27 00:00:00+00:00,6.345485687255859,7.0625,7.1875,7.0625,7.125,9600
2000-01-28 00:00:00+00:00,6.289332866668701,7.0,7.125,7.0,7.125,26300
2000-01-31 00:00:00+00:00,6.0647125244140625,6.75,7.0625,6.75,7.0,16400
2000-02-01 00:00:00+00:00,5.952402591705322,6.625,6.8125,6.625,6.8125,43900
2000-02-02 00:00:00+00:00,6.1208672523498535,6.8125,6.8125,6.6875,6.75,40500
2000-02-03 00:00:00+00:00,6.289332866668701,7.0,7.0,6.75,6.75,34500
2000-02-04 00:00:00+00:00,6.008556842803955,6.6875,7.0,6.6875,7.0,70400
2000-02-07 00:00:00+00:00,5.783939838409424,6.4375,6.6875,6.4375,6.6875,20100
2000-02-08 00:00:00+00:00,5.390856742858887,6.0,6.4375,6.0,6.375,39000
2000-02-09 00:00:00+00:00,5.27854585647583,5.875,5.9375,5.8125,5.875,128200
2000-02-10 00:00:00+00:00,5.783939838409424,6.4375,6.5,5.9375,6.0,132800
2000-02-11 00:00:00+00:00,5.727787017822266,6.375,6.5,6.3125,6.5,19500
2000-02-14 00:00:00+00:00,5.783939838409424,6.4375,6.5625,6.25,6.25,19900
2000-02-15 00:00:00+00:00,5.727787017822266,6.375,6.5,6.125,6.5,66900
2000-02-16 00:00:00+00:00,6.008556842803955,6.6875,6.6875,6.25,6.375,40600
2000-02-17 00:00:00+00:00,6.23317813873291,6.9375,7.3125,6.75,6.75,68600
2000-02-18 00:00:00+00:00,6.289332866668701,7.0,7.125,6.9375,7.0,31400
2000-02-22 00:00:00+00:00,6.289332866668701,7.0,7.1875,6.9375,7.0,24500
2000-02-23 00:00:00+00:00,6.289332866668701,7.0,7.0625,7.0,7.0,12700
2000-02-24 00:00:00+00:00,6.23317813873291,6.9375,7.0,6.9375,7.0,24800
2000-02-25 00:00:00+00:00,6.23317813873291,6.9375,7.125,6.9375,7.0,17000
2000-02-28 00:00:00+00:00,6.289332866668701,7.0,7.0,6.75,6.9375,97300
2000-02-29 00:00:00+00:00,6.23317813873291,6.9375,7.0625,6.8125,7.0,29000
2000-03-01 00:00:00+00:00,6.23317813873291,6.9375,7.0,6.75,6.875,83800
2000-03-02 00:00:00+00:00,6.177022933959961,6.875,7.0,6.75,6.9375,52400
2000-03-03 00:00:00+00:00,6.1208672523498535,6.8125,6.8125,6.625,6.75,81000
2000-03-06 00:00:00+00:00,6.345485687255859,7.0625,7.0625,6.875,6.875,76500
2000-03-07 00:00:00+00:00,6.4016432762146,7.125,7.1875,6.875,7.1875,32700
2000-03-08 00:00:00+00:00,6.177022933959961,6.875,7.125,6.625,7.125,32000
2000-03-09 00:00:00+00:00,6.4372239112854,7.125,7.25,6.875,6.875,45200
2000-03-10 00:00:00+00:00,6.211355209350586,6.875,7.125,6.6875,7.125,16600
2000-03-13 00:00:00+00:00,6.267824649810791,6.9375,6.9375,6.8125,6.8125,11400
2000-03-14 00:00:00+00:00,6.098419666290283,6.75,6.9375,6.75,6.8125,71200
2000-03-15 00:00:00+00:00,5.9854841232299805,6.625,6.75,6.5625,6.75,36900
2000-03-16 00:00:00+00:00,5.9854841232299805,6.625,6.6875,6.625,6.625,27200
2000-03-17 00:00:00+00:00,6.041953086853027,6.6875,6.75,6.5625,6.5625,39100
2000-03-20 00:00:00+00:00,6.324288845062256,7.0,7.0625,6.6875,6.8125,94400
2000-03-21 00:00:00+00:00,6.60662317276001,7.3125,7.375,6.875,7.0,105500
2000-03-22 00:00:00+00:00,6.719555377960205,7.4375,7.5625,7.3125,7.3125,60900
2000-03-23 00:00:00+00:00,6.663090705871582,7.375,7.5,7.375,7.375,17100
2000-03-24 00:00:00+00:00,6.267824649810791,6.9375,7.375,6.8125,7.375,55200
2000-03-27 00:00:00+00:00,6.324288845062256,7.0,7.3125,6.9375,6.9375,90600
2000-03-28 00:00:00+00:00,6.380753993988037,7.0625,7.1875,6.9375,7.0,84900
2000-03-29 00:00:00+00:00,6.719555377960205,7.4375,7.5,7.0,7.0,70900
2000-03-30 00:00:00+00:00,6.663090705871582,7.375,7.5,7.375,7.5,19300
2000-03-31 00:00:00+00:00,6.945423603057861,7.6875,7.9375,7.4375,7.5,72700
2000-04-03 00:00:00+00:00,7.058356761932373,7.8125,7.8125,7.625,7.75,43600
2000-04-04 00:00:00+00:00,6.88895845413208,7.625,7.75,7.5625,7.6875,86100
2000-04-05 00:00:00+00:00,6.719555377960205,7.4375,7.5625,7.3125,7.5,52500
2000-04-06 00:00:00+00:00,6.88895845413208,7.625,7.6875,7.4375,7.4375,31400
