Price,Adj Close,Close,High,Low,Open,Volume
Ticker,RL,RL,RL,RL,RL,RL
Date,,,,,,
2000-01-03 00:00:00+00:00,13.281998634338379,17.4375,17.875,17.3125,17.3125,217000
2000-01-04 00:00:00+00:00,12.758337020874023,16.75,17.25,16.625,17.1875,92700
2000-01-05 00:00:00+00:00,12.996366500854492,17.0625,17.125,16.5,16.6875,237600
2000-01-06 00:00:00+00:00,12.996366500854492,17.0625,17.125,17.0,17.0625,238100
2000-01-07 00:00:00+00:00,13.329608917236328,17.5,17.5,16.8125,17.0625,368400
2000-01-10 00:00:00+00:00,13.900869369506836,18.25,18.4375,17.625,18.3125,241100
2000-01-11 00:00:00+00:00,13.424821853637695,17.625,18.1875,17.4375,18.125,196500
2000-01-12 00:00:00+00:00,12.758337020874023,16.75,17.5,16.625,17.0,135600
2000-01-13 00:00:00+00:00,12.520304679870605,16.4375,16.4375,15.3125,16.0,909000
2000-01-14 00:00:00+00:00,12.425097465515137,16.3125,16.8125,16.25,16.625,266300
2000-01-18 00:00:00+00:00,12.187066078186035,16.0,16.125,15.875,16.125,137200
2000-01-19 00:00:00+00:00,12.37748908996582,16.25,16.25,15.75,15.75,165200
2000-01-20 00:00:00+00:00,11.996644973754883,15.75,16.4375,15.75,16.375,301600
2000-01-21 00:00:00+00:00,11.806222915649414,15.5,15.875,15.5,15.875,285000
2000-01-24 00:00:00+00:00,11.472982406616211,15.0625,15.75,14.9375,15.625,268600
2000-01-25 00:00:00+00:00,11.234953880310059,14.75,15.125,14.5625,14.9375,80200
2000-01-26 00:00:00+00:00,11.520588874816895,15.125,15.5,14.75,14.8125,211200
2000-01-27 00:00:00+00:00,11.806222915649414,15.5,15.6875,15.125,15.25,170200
2000-01-28 00:00:00+00:00,11.71100902557373,15.375,16.125,15.375,15.875,283000
2000-01-31 00:00:00+00:00,11.33016586303711,14.875,15.5,14.75,15.25,131800
2000-02-01 00:00:00+00:00,11.139739036560059,14.625,15.1875,14.25,14.8125,237500
2000-02-02 00:00:00+00:00,11.092131614685059,14.5625,15.125,14.4375,15.125,389800
2000-02-03 00:00:00+00:00,10.949321746826172,14.375,14.75,14.3125,14.625,377500
2000-02-04 00:00:00+00:00,10.758894920349121,14.125,14.75,14.125,14.4375,298300
2000-02-07 00:00:00+00:00,12.37748908996582,16.25,16.4375,14.75,14.875,723000
2000-02-08 00:00:00+00:00,12.520304679870605,16.4375,17.4375,16.375,16.75,612000
2000-02-09 00:00:00+00:00,12.187066078186035,16.0,16.4375,15.375,16.4375,255300
2000-02-10 00:00:00+00:00,11.472982406616211,15.0625,16.0,15.0,16.0,263400
2000-02-11 00:00:00+00:00,11.520588874816895,15.125,15.375,14.4375,15.0625,398800
2000-02-14 00:00:00+00:00,11.806222915649414,15.5,15.75,15.4375,15.5,240100
2000-02-15 00:00:00+00:00,11.853825569152832,15.5625,15.6875,15.5,15.625,285500
2000-02-16 00:00:00+00:00,11.853825569152832,15.5625,15.625,15.4375,15.5625,178300
2000-02-17 00:00:00+00:00,11.568195343017578,15.1875,15.5,15.0,15.5,206000
2000-02-18 00:00:00+00:00,11.425381660461426,15.0,15.375,15.0,15.0625,133600
2000-02-22 00:00:00+00:00,11.37777042388916,14.9375,15.0625,14.5,15.0,118800
2000-02-23 00:00:00+00:00,11.33016586303711,14.875,14.9375,14.5,14.9375,101000
2000-02-24 00:00:00+00:00,11.187349319458008,14.6875,15.0,14.625,14.8125,74000
2000-02-25 00:00:00+00:00,11.33016586303711,14.875,15.0625,14.8125,15.0,149400
2000-02-28 00:00:00+00:00,11.949036598205566,15.6875,15.6875,14.75,14.75,173200
2000-02-29 00:00:00+00:00,12.758337020874023,16.75,16.75,15.625,15.625,336500
2000-03-01 00:00:00+00:00,12.948759078979492,17.0,17.0625,16.4375,16.5625,249600
2000-03-02 00:00:00+00:00,13.139183044433594,17.25,17.5,17.0,17.5,308200
2000-03-03 00:00:00+00:00,12.520304679870605,16.4375,16.9375,16.3125,16.875,211500
2000-03-06 00:00:00+00:00,12.139461517333984,15.9375,16.4375,15.8125,16.375,156700
2000-03-07 00:00:00+00:00,12.091858863830566,15.875,16.625,15.8125,16.125,297500
2000-03-08 00:00:00+00:00,11.853825569152832,15.5625,15.75,15.5,15.6875,114800
2000-03-09 00:00:00+00:00,12.044249534606934,15.8125,15.8125,15.25,15.5625,223500
2000-03-10 00:00:00+00:00,11.901432991027832,15.625,15.9375,15.5625,15.625,118500
2000-03-13 00:00:00+00:00,11.853825569152832,15.5625,15.875,15.4375,15.5625,120100
2000-03-14 00:00:00+00:00,12.139461517333984,15.9375,16.25,15.5,15.5,103700
2000-03-15 00:00:00+00:00,12.66313362121582,16.625,16.625,15.6875,15.6875,232600
2000-03-16 00:00:00+00:00,13.186787605285645,17.3125,17.5,16.5,16.6875,241000
2000-03-17 00:00:00+00:00,13.8056640625,18.125,18.625,17.375,17.5,428500
2000-03-20 00:00:00+00:00,13.520029067993164,17.75,18.4375,17.75,18.0625,352100
2000-03-21 00:00:00+00:00,13.567639350891113,17.8125,17.9375,17.5625,17.8125,128000
2000-03-22 00:00:00+00:00,13.520029067993164,17.75,17.8125,17.625,17.75,73100
2000-03-23 00:00:00+00:00,13.424821853637695,17.625,17.75,17.4375,17.75,165300
2000-03-24 00:00:00+00:00,13.424821853637695,17.625,17.875,17.5625,17.75,168100
2000-03-27 00:00:00+00:00,13.329608917236328,17.5,17.625,17.3125,17.5,68600
2000-03-28 00:00:00+00:00,14.043693542480469,18.4375,18.8125,17.5,17.625,454400
2000-03-29 00:00:00+00:00,15.281434059143066,20.0625,20.0625,18.5625,18.5625,422900
2000-03-30 00:00:00+00:00,15.424257278442383,20.25,20.75,20.0,20.0,328600
2000-03-31 00:00:00+00:00,14.234113693237305,18.6875,20.5,18.625,20.125,194700
2000-04-03 00:00:00+00:00,15.471870422363281,20.3125,20.5,18.625,18.75,182700
2000-04-04 00:00:00+00:00,14.757774353027344,19.375,20.3125,18.25,20.3125,158400
2000-04-05 00:00:00+00:00,13.662843704223633,17.9375,19.1875,17.5,19.1875,240400
2000-04-06 00:00:00+00:00,13.662843704223633,17.9375,18.0,17.8125,17.9375,53400
2000-04-07 00:00:00+00:00,12.948759078979492,17.0,17.6875,16.875,17.6875,470100
2000-04-10 00:00:00+00:00,12.901156425476074,16.9375,17.125,16.75,17.0,120500
2000-04-11 00:00:00+00:00,12.853548049926758,16.875,17.1875,16.8125,17.0,132100
2000-04-12 00:00:00+00:00,12.710731506347656,16.6875,17.125,16.6875,17.0,106300
2000-04-13 00:00:00+00:00,12.901156425476074,16.9375,17.0625,16.6875,16.6875,124700
2000-04-14 00:00:00+00:00,12.187066078186035,16.0,16.5625,15.625,16.5,266800
2000-04-17 00:00:00+00:00,11.949036598205566,15.6875,15.75,15.4375,15.75,128400
2000-04-18 00:00:00+00:00,12.567914009094238,16.5,16.9375,15.6875,15.6875,163400
2000-04-19 00:00:00+00:00,12.091858863830566,15.875,16.3125,15.875,16.3125,221300
2000-04-20 00:00:00+00:00,12.234673500061035,16.0625,16.1875,15.625,15.8125,244400
2000-04-24 00:00:00+00:00,12.37748908996582,16.25,16.25,15.875,16.0,90400
2000-04-25 00:00:00+00:00,12.425097465515137,16.3125,16.375,16.0,16.375,58200
2000-04-26 00:00:00+00:00,12.139461517333984,15.9375,16.375,15.75,16.375,130100
2000-04-27 00:00:00+00:00,12.139461517333984,15.9375,16.1875,15.8125,15.9375,19500
2000-04-28 00:00:00+00:00,12.37748908996582,16.25,16.3125,15.5625,15.6875,112100
2000-05-01 00:00:00+00:00,12.948759078979492,17.0,17.0625,16.125,16.25,191000
2000-05-02 00:00:00+00:00,12.805946350097656,16.8125,17.0,16.6875,16.8125,110100
2000-05-03 00:00:00+00:00,12.615519523620605,16.5625,17.0,16.125,16.5,170200
2000-05-04 00:00:00+00:00,12.567914009094238,16.5,16.5,16.25,16.4375,62500
2000-05-05 00:00:00+00:00,12.472699165344238,16.375,16.75,16.3125,16.75,144500
2000-05-08 00:00:00+00:00,12.187066078186035,16.0,16.375,15.625,16.375,61800
2000-05-09 00:00:00+00:00,12.615519523620605,16.5625,16.5625,16.1875,16.1875,86900
2000-05-10 00:00:00+00:00,12.37748908996582,16.25,16.5625,16.25,16.4375,56500
2000-05-11 00:00:00+00:00,12.520304679870605,16.4375,16.5625,16.1875,16.4375,40100
2000-05-12 00:00:00+00:00,12.425097465515137,16.3125,16.375,16.125,16.3125,23700
2000-05-15 00:00:00+00:00,12.329882621765137,16.1875,16.5,16.0,16.1875,69200
2000-05-16 00:00:00+00:00,12.805946350097656,16.8125,16.9375,15.75,15.9375,71600
2000-05-17 00:00:00+00:00,12.615519523620605,16.5625,16.8125,16.5,16.625,72200
2000-05-18 00:00:00+00:00,12.329882621765137,16.1875,16.4375,16.0,16.4375,73200
2000-05-19 00:00:00+00:00,12.187066078186035,16.0,16.0625,15.9375,16.0,41500
2000-05-22 00:00:00+00:00,12.139461517333984,15.9375,16.1875,15.6875,16.1875,89100
2000-05-23 00:00:00+00:00,11.996644973754883,15.75,16.0,15.5625,15.6875,110300
2000-05-24 00:00:00+00:00,11.092131614685059,14.5625,15.375,14.0,15.375,331800
2000-05-25 00:00:00+00:00,10.282837867736816,13.5,14.1875,12.75,12.75,451300
2000-05-26 00:00:00+00:00,10.187628746032715,13.375,13.5625,13.1875,13.5,178300
2000-05-30 00:00:00+00:00,10.092413902282715,13.25,13.6875,13.125,13.25,150200
2000-05-31 00:00:00+00:00,10.663687705993652,14.0,14.375,13.25,13.25,228400
2000-06-01 00:00:00+00:00,10.901711463928223,14.3125,14.5,13.875,13.9375,116700
2000-06-02 00:00:00+00:00,10.996923446655273,14.4375,14.75,14.4375,14.4375,132200
2000-06-05 00:00:00+00:00,10.901711463928223,14.3125,14.375,14.125,14.3125,92300
2000-06-06 00:00:00+00:00,10.711291313171387,14.0625,14.3125,14.0625,14.3125,71800
2000-06-07 00:00:00+00:00,10.663687705993652,14.0,14.125,13.875,14.0625,100100
2000-06-08 00:00:00+00:00,10.425658226013184,13.6875,14.125,13.375,14.0,270800
2000-06-09 00:00:00+00:00,10.616084098815918,13.9375,13.9375,13.5625,13.5625,103700
2000-06-12 00:00:00+00:00,10.758894920349121,14.125,14.25,13.875,13.875,91500
2000-06-13 00:00:00+00:00,10.663687705993652,14.0,14.125,13.8125,13.875,81500
2000-06-14 00:00:00+00:00,10.758894920349121,14.125,14.1875,13.875,13.9375,43500
2000-06-15 00:00:00+00:00,10.854107856750488,14.25,14.25,14.125,14.25,108100
2000-06-16 00:00:00+00:00,10.711291313171387,14.0625,14.5,14.0625,14.375,60100
2000-06-19 00:00:00+00:00,10.663687705993652,14.0,14.1875,14.0,14.0625,76500
2000-06-20 00:00:00+00:00,10.47326374053955,13.75,14.25,13.75,14.0,90900
2000-06-21 00:00:00+00:00,10.616084098815918,13.9375,14.125,13.875,13.875,131800
2000-06-22 00:00:00+00:00,10.663687705993652,14.0,14.125,13.875,13.9375,262600
2000-06-23 00:00:00+00:00,10.996923446655273,14.4375,14.4375,14.0,14.0,156700
2000-06-26 00:00:00+00:00,11.472982406616211,15.0625,15.1875,14.3125,14.625,133000
2000-06-27 00:00:00+00:00,11.663407325744629,15.3125,15.5,14.8125,14.8125,104500
2000-06-28 00:00:00+00:00,11.853825569152832,15.5625,15.5625,15.3125,15.3125,123000
2000-06-29 00:00:00+00:00,12.187066078186035,16.0,16.0,15.375,15.4375,171500
2000-06-30 00:00:00+00:00,10.854107856750488,14.25,16.375,14.25,16.0,521400
2000-07-03 00:00:00+00:00,11.853825569152832,15.5625,15.5625,14.5625,14.5625,150600
2000-07-05 00:00:00+00:00,11.949036598205566,15.6875,15.75,15.375,15.375,80700
2000-07-06 00:00:00+00:00,12.37748908996582,16.25,16.3125,15.375,15.625,132400
2000-07-07 00:00:00+00:00,12.520304679870605,16.4375,16.4375,16.0625,16.375,63500
2000-07-10 00:00:00+00:00,12.805946350097656,16.8125,17.0,16.25,16.3125,96900
2000-07-11 00:00:00+00:00,12.758337020874023,16.75,17.125,16.5625,16.5625,53100
2000-07-12 00:00:00+00:00,12.948759078979492,17.0,17.0,16.5625,16.625,97100
2000-07-13 00:00:00+00:00,13.043970108032227,17.125,17.25,16.9375,16.9375,81400
2000-07-14 00:00:00+00:00,13.09157657623291,17.1875,17.375,17.125,17.375,78100
2000-07-17 00:00:00+00:00,12.996366500854492,17.0625,17.125,16.6875,17.125,139800
2000-07-18 00:00:00+00:00,12.758337020874023,16.75,17.0,16.6875,17.0,73500
2000-07-19 00:00:00+00:00,13.139183044433594,17.25,17.25,16.375,16.625,81000
2000-07-20 00:00:00+00:00,12.901156425476074,16.9375,17.0,16.6875,17.0,62600
2000-07-21 00:00:00+00:00,12.615519523620605,16.5625,17.0,16.5,17.0,37000
2000-07-24 00:00:00+00:00,12.805946350097656,16.8125,17.0,16.3125,16.3125,75100
2000-07-25 00:00:00+00:00,13.234390258789062,17.375,17.375,16.8125,16.8125,171600
2000-07-26 00:00:00+00:00,12.948759078979492,17.0,17.375,16.75,17.375,137700
2000-07-27 00:00:00+00:00,13.09157657623291,17.1875,17.25,16.875,16.875,53000
2000-07-28 00:00:00+00:00,12.37748908996582,16.25,17.0,16.0625,17.0,50900
2000-07-31 00:00:00+00:00,12.329882621765137,16.1875,16.25,16.0625,16.0625,127000
2000-08-01 00:00:00+00:00,12.37748908996582,16.25,16.5,16.125,16.3125,40800
2000-08-02 00:00:00+00:00,12.758337020874023,16.75,16.875,16.25,16.25,31700
2000-08-03 00:00:00+00:00,12.520304679870605,16.4375,16.5625,16.1875,16.5625,36300
2000-08-04 00:00:00+00:00,13.043970108032227,17.125,17.125,16.3125,16.3125,32400
2000-08-07 00:00:00+00:00,13.09157657623291,17.1875,17.1875,17.0,17.0,58300
2000-08-08 00:00:00+00:00,14.329324722290039,18.8125,19.0,17.0,17.0,276200
2000-08-09 00:00:00+00:00,13.710453987121582,18.0,19.0,17.5625,19.0,202600
2000-08-10 00:00:00+00:00,14.757774353027344,19.375,19.375,17.6875,18.0,277300
2000-08-11 00:00:00+00:00,15.186235427856445,19.9375,19.9375,18.8125,19.375,345700
2000-08-14 00:00:00+00:00,15.138620376586914,19.875,20.25,19.8125,19.875,182100
2000-08-15 00:00:00+00:00,15.091023445129395,19.8125,19.9375,19.4375,19.625,283500
2000-08-16 00:00:00+00:00,14.567357063293457,19.125,19.75,19.0625,19.625,53200
2000-08-17 00:00:00+00:00,15.138620376586914,19.875,19.875,18.6875,19.0,65300
2000-08-18 00:00:00+00:00,14.519742965698242,19.0625,19.75,18.875,19.75,72400
2000-08-21 00:00:00+00:00,15.043416023254395,19.75,19.875,19.125,19.125,58200
2000-08-22 00:00:00+00:00,14.662569999694824,19.25,19.6875,19.1875,19.6875,29600
2000-08-23 00:00:00+00:00,14.234113693237305,18.6875,19.25,18.5625,19.0,70000
2000-08-24 00:00:00+00:00,14.757774353027344,19.375,19.5,18.75,18.875,89200
2000-08-25 00:00:00+00:00,14.900589942932129,19.5625,19.9375,19.1875,19.375,37600
2000-08-28 00:00:00+00:00,14.567357063293457,19.125,19.5625,18.75,19.5625,35900
2000-08-29 00:00:00+00:00,14.662569999694824,19.25,19.3125,18.625,18.625,82500
2000-08-30 00:00:00+00:00,14.900589942932129,19.5625,19.5625,19.0,19.0,49300
2000-08-31 00:00:00+00:00,14.757774353027344,19.375,19.4375,19.125,19.375,44700
