Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ROK,ROK,ROK,ROK,ROK,ROK
Date,,,,,,
2000-01-03 00:00:00+00:00,10.85899829864502,49.375,49.75,47.6875,48.375,416200
2000-01-04 00:00:00+00:00,10.460376739501953,47.5625,50.5,47.4375,49.4375,422900
2000-01-05 00:00:00+00:00,10.515359878540039,47.8125,49.375,47.75,48.9375,247500
2000-01-06 00:00:00+00:00,10.309174537658691,46.875,47.3125,46.3125,47.0,397300
2000-01-07 00:00:00+00:00,10.62532901763916,48.3125,49.0,47.0,48.0,286100
2000-01-10 00:00:00+00:00,10.62532901763916,48.3125,49.6875,48.3125,48.875,306700
2000-01-11 00:00:00+00:00,10.419145584106445,47.375,48.1875,46.75,47.5625,302700
2000-01-12 00:00:00+00:00,10.501614570617676,47.75,48.0,46.75,47.1875,281800
2000-01-13 00:00:00+00:00,10.762778282165527,48.9375,49.1875,46.625,47.125,497400
2000-01-14 00:00:00+00:00,10.597832679748535,48.1875,48.6875,47.3125,48.6875,325700
2000-01-18 00:00:00+00:00,11.161406517028809,50.75,50.8125,49.375,50.0,795200
2000-01-19 00:00:00+00:00,11.422567367553711,51.9375,54.0,51.5,52.0,1444400
2000-01-20 00:00:00+00:00,10.776531219482422,49.0,52.625,48.625,52.5,588000
2000-01-21 00:00:00+00:00,10.91397762298584,49.625,51.0,49.375,50.9375,597800
2000-01-24 00:00:00+00:00,10.309174537658691,46.875,49.5,46.75,49.125,660700
2000-01-25 00:00:00+00:00,10.556600570678711,48.0,49.4375,47.75,48.0,1033200
2000-01-26 00:00:00+00:00,10.611584663391113,48.25,48.875,47.875,48.375,645300
2000-01-27 00:00:00+00:00,10.721543312072754,48.75,49.75,48.25,48.25,567900
2000-01-28 00:00:00+00:00,10.666556358337402,48.5,49.9375,48.5,49.0,703900
2000-01-31 00:00:00+00:00,10.872748374938965,49.4375,49.6875,47.5625,48.5,571300
2000-02-01 00:00:00+00:00,10.872748374938965,49.4375,49.75,48.125,49.4375,338500
