Price,Adj Close,Close,High,Low,Open,Volume
Ticker,WAB,WAB,WAB,WAB,WAB,WAB
Date,,,,,,
2000-01-03 00:00:00+00:00,7.880458831787109,8.59375,8.78125,8.34375,8.78125,181400
2000-01-04 00:00:00+00:00,7.765836715698242,8.46875,8.5,8.3125,8.5,193400
2000-01-05 00:00:00+00:00,7.737178325653076,8.4375,8.4375,8.25,8.375,304800
2000-01-06 00:00:00+00:00,7.4219584465026855,8.09375,8.40625,7.9375,8.40625,199000
2000-01-07 00:00:00+00:00,7.135397911071777,7.78125,8.09375,7.75,8.09375,231400
2000-01-10 00:00:00+00:00,7.22136926651001,7.875,8.0,7.625,7.9375,337000
2000-01-11 00:00:00+00:00,7.0207719802856445,7.65625,7.8125,7.53125,7.8125,318000
2000-01-12 00:00:00+00:00,6.6482439041137695,7.25,7.65625,7.1875,7.65625,219600
2000-01-13 00:00:00+00:00,6.7055535316467285,7.3125,7.34375,7.25,7.3125,95600
2000-01-14 00:00:00+00:00,6.333022117614746,6.90625,7.4375,6.75,7.4375,755000
2000-01-18 00:00:00+00:00,6.304368495941162,6.875,6.875,6.6875,6.84375,431800
2000-01-19 00:00:00+00:00,6.4189910888671875,7.0,7.09375,6.875,6.875,261800
2000-01-20 00:00:00+00:00,6.4189910888671875,7.0,7.28125,6.9375,7.03125,525800
2000-01-21 00:00:00+00:00,6.333022117614746,6.90625,7.0,6.875,6.90625,767600
2000-01-24 00:00:00+00:00,6.2183990478515625,6.78125,7.0,6.75,6.9375,258200
2000-01-25 00:00:00+00:00,5.702585697174072,6.21875,6.6875,6.0625,6.6875,654000
2000-01-26 00:00:00+00:00,5.387368679046631,5.875,6.1875,5.78125,6.1875,521200
2000-01-27 00:00:00+00:00,5.301398277282715,5.78125,5.96875,5.78125,5.875,272400
2000-01-28 00:00:00+00:00,5.186774730682373,5.65625,5.8125,5.625,5.78125,98400
2000-01-31 00:00:00+00:00,5.100805759429932,5.5625,5.6875,5.53125,5.59375,303400
2000-02-01 00:00:00+00:00,5.100805759429932,5.5625,5.65625,5.4375,5.625,290200
2000-02-02 00:00:00+00:00,5.2440876960754395,5.71875,5.78125,5.625,5.65625,182600
2000-02-03 00:00:00+00:00,5.2727437019348145,5.75,5.8125,5.71875,5.71875,196200
