Price,Adj Close,Close,High,Low,Open,Volume
Ticker,WELL,WELL,WELL,WELL,WELL,WELL
Date,,,,,,
2000-01-03 00:00:00+00:00,3.5151145458221436,15.375,15.75,15.125,15.125,112600
2000-01-04 00:00:00+00:00,3.5008256435394287,15.3125,15.625,15.1875,15.1875,134800
2000-01-05 00:00:00+00:00,3.6008479595184326,15.75,15.75,15.375,15.5,93200
2000-01-06 00:00:00+00:00,3.786606788635254,16.5625,16.625,15.875,15.875,164200
2000-01-07 00:00:00+00:00,3.843762159347534,16.8125,16.9375,16.5625,16.625,132500
2000-01-10 00:00:00+00:00,3.915207624435425,17.125,17.1875,16.6875,16.9375,179200
2000-01-11 00:00:00+00:00,3.843762159347534,16.8125,17.1875,16.625,17.125,98400
2000-01-12 00:00:00+00:00,3.786606788635254,16.5625,16.9375,16.5,16.875,88400
2000-01-13 00:00:00+00:00,3.8008949756622314,16.625,16.625,16.4375,16.5625,80500
2000-01-14 00:00:00+00:00,3.786606788635254,16.5625,16.6875,16.5625,16.6875,86400
2000-01-18 00:00:00+00:00,3.686583995819092,16.125,16.6875,16.125,16.6875,249200
2000-01-19 00:00:00+00:00,3.8151848316192627,16.6875,16.75,16.0625,16.125,214300
2000-01-20 00:00:00+00:00,3.900919198989868,17.0625,17.1875,16.8125,16.8125,118900
2000-01-21 00:00:00+00:00,3.972365617752075,17.375,17.4375,16.9375,16.9375,78200
2000-01-24 00:00:00+00:00,3.900919198989868,17.0625,17.5,17.0625,17.5,99900
2000-01-25 00:00:00+00:00,3.886631488800049,17.0,17.25,16.9375,17.125,131800
2000-01-26 00:00:00+00:00,3.929499864578247,17.1875,17.4375,17.0625,17.125,74800
2000-01-27 00:00:00+00:00,3.886631488800049,17.0,17.375,16.9375,17.25,118800
2000-01-28 00:00:00+00:00,3.875979423522949,16.375,16.4375,16.1875,16.4375,69700
2000-01-31 00:00:00+00:00,3.8168039321899414,16.125,16.5,16.125,16.4375,68700
2000-02-01 00:00:00+00:00,3.8020105361938477,16.0625,16.375,15.875,16.125,78900
2000-02-02 00:00:00+00:00,3.7428367137908936,15.8125,16.125,15.75,16.0,98100
2000-02-03 00:00:00+00:00,3.683659553527832,15.5625,15.875,15.5625,15.875,85500
2000-02-04 00:00:00+00:00,3.668863534927368,15.5,15.625,15.4375,15.625,129100
2000-02-07 00:00:00+00:00,3.654069185256958,15.4375,15.625,15.375,15.4375,94600
2000-02-08 00:00:00+00:00,3.654069185256958,15.4375,15.625,15.375,15.5625,68000
2000-02-09 00:00:00+00:00,3.5505142211914062,15.0,15.3125,14.9375,15.125,155800
2000-02-10 00:00:00+00:00,3.520928382873535,14.875,15.0,14.75,14.75,91500
2000-02-11 00:00:00+00:00,3.520928382873535,14.875,15.0,14.8125,14.875,62900
2000-02-14 00:00:00+00:00,3.565309524536133,15.0625,15.0625,14.8125,14.875,114100
2000-02-15 00:00:00+00:00,3.5801029205322266,15.125,15.1875,15.0,15.0,54600
2000-02-16 00:00:00+00:00,3.6244845390319824,15.3125,15.5,15.25,15.25,44900
2000-02-17 00:00:00+00:00,3.6096887588500977,15.25,15.3125,15.125,15.3125,60400
2000-02-18 00:00:00+00:00,3.6244845390319824,15.3125,15.4375,15.25,15.25,68300
